I,T,Uraw
3.6e-06,294.951,0.131614
3.6e-06,289.928,0.132687
3.6e-06,284.937,0.13406
3.6e-06,279.929,0.135643
3.6e-06,274.937,0.137414
3.6e-06,269.922,0.139385
3.6e-06,264.936,0.141549
3.6e-06,259.943,0.143921
3.6e-06,254.925,0.146533
3.6e-06,249.941,0.14937
3.6e-06,242.205,0.154998
2.4e-06,314.942,0.0874256
2.4e-06,310.026,0.0872398
2.4e-06,304.968,0.0871663
2.4e-06,299.929,0.0872858
2.4e-06,294.951,0.087704
2.4e-06,289.928,0.0884186
2.4e-06,284.937,0.089333
2.4e-06,279.929,0.0903919
2.4e-06,274.937,0.0915709
2.4e-06,269.922,0.0928852
2.4e-06,264.936,0.0943277
2.4e-06,259.943,0.0959068
2.4e-06,254.925,0.0976482
2.4e-06,249.941,0.0995274
2.4e-06,242.205,0.103274
1.2e-06,314.942,0.0436285
1.2e-06,310.026,0.0435372
1.2e-06,304.968,0.0434988
1.2e-06,299.929,0.0435593
1.2e-06,294.951,0.0437696
1.2e-06,289.928,0.0441268
1.2e-06,284.937,0.0445852
1.2e-06,279.929,0.045117
1.2e-06,274.937,0.0457055
1.2e-06,269.922,0.0463627
1.2e-06,264.936,0.0470837
1.2e-06,259.943,0.0478694
1.2e-06,254.925,0.04874
1.2e-06,249.941,0.0496867
1.2e-06,242.205,0.051555
0.0,314.942,-0.000172395
0.0,310.026,-0.000168591
0.0,304.968,-0.000173215
0.0,299.929,-0.000173237
0.0,294.951,-0.000171624
0.0,289.928,-0.000168594
0.0,284.937,-0.000168882
0.0,279.929,-0.000163318
0.0,274.937,-0.000164953
0.0,269.922,-0.000168582
0.0,264.936,-0.000168718
0.0,259.943,-0.000176159
0.0,254.925,-0.000174406
0.0,249.941,-0.0001695
0.0,242.205,-0.000180541
-1.2e-06,314.942,-0.0439769
-1.2e-06,310.026,-0.0438776
-1.2e-06,304.968,-0.0438491
-1.2e-06,299.929,-0.0439078
-1.2e-06,294.951,-0.0441117
-1.2e-06,289.928,-0.0444698
-1.2e-06,284.937,-0.0449261
-1.2e-06,279.929,-0.0454456
-1.2e-06,274.937,-0.0460383
-1.2e-06,269.922,-0.046702
